trial,teacher_word,student_word,related,type
1,leaf.wav,baby.wav,Y,exp
2,husband.wav,beach.wav,Y,exp
3,salt.wav,bed.wav,Y,exp
4,saddle.wav,book.wav,Y,exp
5,cop.wav,box.wav,Y,exp
6,king.wav,brush.wav,Y,exp
7,astronaut.wav,clown.wav,Y,exp
8,thanksgiving.wav,doctor.wav,Y,exp
9,comb.wav,frog.wav,Y,exp
10,circus.wav,glue.wav,Y,exp
11,nurse.wav,horn.wav,Y,exp
12,mustard.wav,horse.wav,Y,exp
13,arm.wav,ketchup.wav,Y,exp
14,ink.wav,leg.wav,Y,exp
15,flood.wav,nail.wav,Y,exp
16,toad.wav,pen.wav,Y,exp
17,library.wav,pepper.wav,Y,exp
18,sand.wav,police.wav,Y,exp
19,cardboard.wav,queen.wav,Y,exp
20,honk.wav,space.wav,Y,exp
21,mattress.wav,tree.wav,Y,exp
22,hammer.wav,turkey.wav,Y,exp
23,crib.wav,water.wav,Y,exp
24,paste.wav,wife.wav,Y,exp
25,bounce.wav,ball.wav,N,exp
26,hive.wav,bee.wav,N,exp
27,nest.wav,bird.wav,N,exp
28,girl.wav,boy.wav,N,exp
29,loaf.wav,bread.wav,N,exp
30,beetle.wav,bug.wav,N,exp
31,garage.wav,car.wav,N,exp
32,meow.wav,cat.wav,N,exp
33,table.wav,chair.wav,N,exp
34,macaroni.wav,cheese.wav,N,exp
35,moo.wav,cow.wav,N,exp
36,knob.wav,door.wav,N,exp
37,toe.wav,foot.wav,N,exp
38,trash.wav,garbage.wav,N,exp
39,mitten.wav,glove.wav,N,exp
40,father.wav,mother.wav,N,exp
41,thread.wav,needle.wav,N,exp
42,airport.wav,plane.wav,N,exp
43,gift.wav,present.wav,N,exp
44,bunny.wav,rabbit.wav,N,exp
45,umbrella.wav,rain.wav,N,exp
46,brother.wav,sister.wav,N,exp
47,aunt.wav,uncle.wav,N,exp
48,breeze.wav,wind.wav,N,exp
49,envelope.wav,bucket.wav,N,word_filler
50,icing.wav,pencil.wav,N,word_filler
51,pail.wav,winner.wav,N,word_filler
52,antler.wav,city.wav,N,word_filler
53,thunder.wav,coat.wav,N,word_filler
54,crocodile.wav,phone.wav,N,word_filler
55,jacket.wav,bear.wav,N,word_filler
56,man.wav,gum.wav,N,word_filler
57,circle.wav,alligator.wav,N,word_filler
58,town.wav,chocolate.wav,N,word_filler
59,cub.wav,square.wav,N,word_filler
60,loser.wav,orange.wav,N,word_filler
61,bubble.wav,woman.wav,N,word_filler
62,eraser.wav,lemon.wav,N,word_filler
63,tortoise.wav,dryer.wav,N,word_filler
64,web.wav,cake.wav,N,word_filler
65,juice.wav,lightning.wav,N,word_filler
66,lime.wav,hat.wav,N,word_filler
67,fudge.wav,spider.wav,N,word_filler
68,film.wav,chicken.wav,N,word_filler
69,cap.wav,letter.wav,N,word_filler
70,dial.wav,turtle.wav,N,word_filler
71,washer.wav,deer.wav,N,word_filler
72,hen.wav,movie.wav,N,word_filler
73,blackboard.wav,atha.wav,N,nonword
74,lollipop.wav,eeg.wav,N,nonword
75,crust.wav,oolop.wav,N,nonword
76,grape.wav,spez.wav,N,nonword
77,chimney.wav,oja.wav,N,nonword
78,broom.wav,thag.wav,N,nonword
79,owl.wav,mig.wav,N,nonword
80,spaghetti.wav,rilk.wav,N,nonword
81,flashlight.wav,pab.wav,N,nonword
82,feather.wav,zorg.wav,N,nonword
83,puzzle.wav,silzam.wav,N,nonword
84,chalk.wav,vion.wav,N,nonword
85,arrow.wav,yag.wav,N,nonword
86,banana.wav,haldo.wav,N,nonword
87,battery.wav,suling.wav,N,nonword
88,tub.wav,squaim.wav,N,nonword
89,lamp.wav,fleb.wav,N,nonword
90,barn.wav,gleebo.wav,N,nonword
91,corn.wav,ubu.wav,N,nonword
92,exit.wav,hoosaf.wav,N,nonword
93,guitar.wav,omi.wav,N,nonword
94,mouse.wav,dooplap.wav,N,nonword
95,bowl.wav,crozzle.wav,N,nonword
96,snake.wav,klex.wav,N,nonword
97,flower.wav,wado.wav,N,nonword
98,tail.wav,spargy.wav,N,nonword
99,duck.wav,loodon.wav,N,nonword
100,dirt.wav,plab.wav,N,nonword
101,ocean.wav,dax.wav,N,nonword
102,snow.wav,razap.wav,N,nonword
103,map.wav,deeb.wav,N,nonword
104,monkey.wav,wilg.wav,N,nonword
105,candy.wav,doku.wav,N,nonword
106,football.wav,zorn.wav,N,nonword
107,planet.wav,tribib.wav,N,nonword
108,island.wav,meeki.wav,N,nonword
109,desk.wav,lalbro.wav,N,nonword
110,teacher.wav,hud.wav,N,nonword
111,camera.wav,agow.wav,N,nonword
112,sun.wav,wabbroon.wav,N,nonword
113,art.wav,jono.wav,N,nonword
114,bus.wav,geep.wav,N,nonword
115,star.wav,toma.wav,N,nonword
116,fish.wav,songle.wav,N,nonword
117,test.wav,yark.wav,N,nonword
118,rock.wav,naff.wav,N,nonword
119,hound.wav,ibi.wav,N,nonword
120,shark.wav,dowa.wav,N,nonword